"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 05, 2018","1.1351","1.1353","1.1371","1.1321","10.37K","-0.02%"
"Dec 04, 2018","1.1353","1.1366","1.1430","1.1330","17.46K","-0.02%"
"Dec 03, 2018","1.1355","1.1338","1.1392","1.1331","13.78K","0.29%"
"Nov 30, 2018","1.1322","1.1402","1.1414","1.1318","13.87K","-0.72%"
"Nov 29, 2018","1.1404","1.1383","1.1417","1.1361","14.51K","0.11%"
"Nov 28, 2018","1.1392","1.1308","1.1406","1.1284","17.13K","0.71%"
"Nov 27, 2018","1.1312","1.1348","1.1361","1.1295","13.39K","-0.31%"
"Nov 26, 2018","1.1347","1.1355","1.1402","1.1341","9.25K","-0.07%"
"Nov 23, 2018","1.1355","1.1406","1.1453","1.1350","14.33K","-0.58%"
"Nov 22, 2018","1.1421","1.1408","1.1454","1.1405","-","0.09%"
"Nov 21, 2018","1.1411","1.1391","1.1447","1.1388","15.85K","0.18%"
"Nov 20, 2018","1.1391","1.1476","1.1494","1.1381","14.29K","-0.77%"
"Nov 19, 2018","1.1479","1.1440","1.1488","1.1419","10.86K","0.36%"
"Nov 16, 2018","1.1438","1.1350","1.1447","1.1347","15.04K","0.54%"
"Nov 15, 2018","1.1377","1.1338","1.1388","1.1296","21.68K","0.09%"
"Nov 14, 2018","1.1367","1.1318","1.1377","1.1291","22.05K","0.61%"
"Nov 13, 2018","1.1298","1.1250","1.1323","1.1250","17.96K","0.24%"
"Nov 12, 2018","1.1271","1.1353","1.1362","1.1245","15.05K","-0.84%"
"Nov 09, 2018","1.1367","1.1397","1.1400","1.1347","12.75K","-0.18%"
"Nov 08, 2018","1.1388","1.1461","1.1479","1.1382","16.11K","-0.90%"
"Nov 07, 2018","1.1491","1.1457","1.1542","1.1430","22.12K","0.37%"
"Nov 06, 2018","1.1449","1.1446","1.1474","1.1428","11.11K","-0.06%"
"Nov 05, 2018","1.1456","1.1426","1.1462","1.1389","10.06K","0.29%"
"Nov 02, 2018","1.1423","1.1445","1.1493","1.1409","18.76K","-0.21%"
"Nov 01, 2018","1.1447","1.1354","1.1462","1.1352","15.47K","0.80%"
"Oct 31, 2018","1.1356","1.1385","1.1401","1.1343","17.05K","-0.25%"
"Oct 30, 2018","1.1385","1.1416","1.1431","1.1383","13.52K","-0.44%"
"Oct 29, 2018","1.1435","1.1444","1.1460","1.1405","17.72K","-0.17%"
"Oct 26, 2018","1.1455","1.1419","1.1466","1.1380","15.19K","0.41%"
"Oct 25, 2018","1.1408","1.1443","1.1478","1.1401","17.20K","-0.24%"
"Oct 24, 2018","1.1436","1.1520","1.1524","1.1426","15.62K","-0.70%"
"Oct 23, 2018","1.1517","1.1514","1.1542","1.1488","13.70K","0.00%"
"Oct 22, 2018","1.1517","1.1563","1.1601","1.1506","11.79K","-0.38%"
"Oct 19, 2018","1.1561","1.1505","1.1585","1.1484","15.51K","0.38%"
"Oct 18, 2018","1.1517","1.1552","1.1579","1.1501","14.76K","-0.38%"
"Oct 17, 2018","1.1561","1.1627","1.1635","1.1550","14.39K","-0.63%"
"Oct 16, 2018","1.1634","1.1639","1.1678","1.1622","12.65K","-0.06%"
"Oct 15, 2018","1.1641","1.1611","1.1663","1.1600","9.97K","0.16%"
"Oct 12, 2018","1.1622","1.1650","1.1668","1.1593","14.49K","-0.27%"
"Oct 11, 2018","1.1653","1.1586","1.1658","1.1584","18.00K","0.57%"
"Oct 10, 2018","1.1587","1.1555","1.1607","1.1541","14.35K","0.23%"
"Oct 09, 2018","1.1560","1.1552","1.1566","1.1493","16.96K","0.07%"
"Oct 08, 2018","1.1552","1.1588","1.1592","1.1522","10.63K","-0.32%"
"Oct 05, 2018","1.1589","1.1579","1.1614","1.1547","18.46K","0.09%"
